tweet,class
 hate femal got mental niggah ,1
 ever sex ina cherri red vet witha fat trap niggah keep pussi sooo wet  ,1
 hoe mind  fuck hoe time  fattrel,1
 aint trippen caus like anyway  got niggah got girl anyway  yea anyway ,1
 aint trippen mo  done drop  knock owe  could neva foo hoe  put [LINK],1
 like niggah like  yo bitch   na check idc  mine [LINK],1
 fw niggah everyday  neva chang  alway niggah  shit niggah ,1
 guess niggah believ ya proof ya  name lot thing man ya [LINK],1
 hate  guesss tri talk mee  ass bitch ,1
 feel like mouthpiec cold  give lesson everi niggah ever got turn  low cost   hmu ,1
 know know know  street fuck strong  bitch gon fuck money [LINK],1
 rather jack fuck hoe tbh  shit bore give wife ,1
 realli give fuck  start  got hoe  fuck bitch  shit delet yo [LINK],1
 still got time bitch actin iffi  ,1
 thinkkk shee know   maaaa otheeeeeeeer bitch  ,1
 told niggah maya angelo die niggah gon ask  red ninja turtl   wtf ,1
 took bitch set  yo bitch get around set  dick bitch set  yo [LINK],1
 never date femal anoth niggah name lol  wtf ,1
 wonder femal ever sit around think bout yall hoe unfaith yall realli ,1
 wouldnt bring girl around nobodi leo  niggah know wouldnt mess [LINK],1
 hard kill   countin cake finest bitch   take makeup still look like finalist  ,1
 gon ever niggah hit  like everi pictur  get whoever want period   [LINK],1
 niggah show public babbbbbbyyyy  lol,1
 rather sit hous day jack bust mission liter chill bitch  [LINK],1
 idk niggah give femal head throw condom lmaooo niggah alreadi ate whole std ,1
 ever put trust ina bitch  alway hurt  ,1
 ugli ass niggah   tf chuu baka anyway niggah look like [LINK],1
 yo new niggah dress better  even close look better  dnt tri make [LINK],1
 get yo girl took mad niggah  mad  caus owe loyalti  ,1
 ima kill pussi straight murder shit  ima eat  eat  eat  lick till slap  aye  ,1
 ima pull  eat pussi dip  ,1
 ima real young niggah witha muhhfuckin attitud  walk yo spot would think niggah mad ,1
 ima young rich niggah tryna fuck niggah bitch  ex rat naybahood fuckin bitch   [LINK],1
 indiana niggah tell muhhfuckin grammar  swear got  hoe like santa  ,1
 jodi  niggah got boo pregnant  niggah take respons [LINK],1
  want nobodi els textinginboxingkikingdmingsnapchattingemail yo girl niggah ,1
 old  lil proton feel  bitch gon feel  niggah kill ,1
 lemm find answer call caus otp niggah ,1
 leo apolonio look niggah drive bike [LINK],1
 look ex profil struggl weak ass niggah  god good ,1
 niggah alsina doin thang  [LINK],1
 make niggah buy ring ya finger   jimmi ya feet  jean back  lingeri [LINK],1
 mann hoe get nothin   dick instruct   mee fucccccckn  said [LINK],1
 mannnnn wake yall bitch ass blood ,1
 charger got fuck  finna wrap cord tf around phone bitch finna charg today cuhz  ,1
 babi mama trippen bitch shoot  ,1
 nah aint hoe niggah  bitch niggah  rich niggah shit niggah getchu chip niggah ,1
 niggah said  girl limit thirsti niggah stay inbox  bitch look like kunta kint [LINK],1
 niggah stay thinkin want girl  nevvvvva niggah ,1
 feelin hoe aint main thang  niggah thang  niggah gangbang  [LINK],1
 g like stop controllin  like bitch fuck thought  like niggah fuck mean ,1
 ok texa bitch keep textin  callin cryin stressin  bout anoth bitch allegedli  ,1
 ok texa bitch keep textin  callin cryin stressin  askin anoth bitch allegedli  ,1
 twitter say ridin niggah   realli fuck  pull trigger  ,1
 rip deshawn   know know darkskin niggah hood name deshawn get shot tonight ,1
 ran good game royal niggah ,1
 said aint neva love bitcccccch  bitch steadi lovin  ayeee  [LINK],1
 see gotta get money palm itchin  niggah gossip like hoe bitch ,1
 shawti wanna tell secret rap niggah  tell bitch attract hold  ,1
 drippen vanillaaaaa  know pussi killaaaa  ,1
 herd dope boy  herd gold digger   know real bitch  fuck like real niggah ,1
 love talk crazi  suck niggah dick  whole lotta spit  let drip  yea catch [LINK],1
 mad like  min got hit right back lol care niggah  [LINK],1
 somebodi come look niggah right  kevin hart voic  lol [LINK],1
 someon let know drake cold   favorit rapper  niggah hard ,1
 south central niggah realli lovin hoe  hoe lovin niggah   [LINK],1
 fb profil checker thing fake mf  ad bitch yesterday top  fuck fr ,1
 one niggah grab aux cord start playen weak ass music  [LINK],1
 hoe finna like  owiee trey  august  chri brown babi time   lmfaooooooo hoe aint loyal ,1
 niggah bitch call momma tell come getemm  either shoot shoot whoever ,1
 niggah kevin hart couldnt sit lmaoooooooooooo niggah niggah ,1
  cuh went  time settl   hoe     [LINK],1
 niggah yanni like hangin niggah mid sentenc  ,1
 niggah pharrel whatev niggah name deserv shit white ass gay song ,1
 runnin k fade niggah tyreon  leo kod lmfaoo,1
 waaaaittt niggah holllllup  niggah come town start wifen old slut  ,1
 wake bless  steaight kush stress  thankin god success  bitch say best  ,1
 bestf shyanna pen main niggah ronni jackson iii  movi bound pick homi,1
 yall complain thirst trap  fr  model dress like  ass stfu  make hoe wtf ,1
 yall hoe get turn reason  like  owiee got tat  bang  wifi password  [LINK],1
 yall like sayin money buy happi  name niggah sit lambo cri ,1
 deserv x august alsina  dedic old side hoe  ,1
 gottttta mad madddd niggah  sayin name  mustv got madddddd niggah ,1
 messin broke niggah gon broke niggah ,1
 niggah actin like hoe  sale  ,1
 tall tree ass femal  talkin bout  catch feel   bitch need catch touchdown [LINK],1
 come pussi fuck friend  hostel iii realli watch right,1
 good jeter hero yanke sendoff [LINK] via [@],0
caus aint [@] aint eem watchin award yet hoe hatin kim k,1
damn whitey youll get kick newest form white privileg [LINK],1
eff go crippl see wendi davi new attack ad video [LINK],0
everi bitch got fat ass  rn,1
forget salut trash guy bad war cairo ii sympath pockistan gay hurt moral thank king,0
scandal sex scene air abc right great pumpkin charli brown make parent angri [LINK],0
view  gon instagram pictur titl whilebrac yaself nig,1
drown pussi swam easili eloqu messag sent xbox live,1
uturn yellow aceptar est luz rojo  light take long make bilingu ,0
cont also provid color sticker place nametag member indic prefer pronoun,0
look oomf [@] pretend bitch realli work nah,1
via [@] charli angu send made china canadian flag pin back conserv  [LINK],0
bow ye bitchmast bitch,1
backflip thissssssss [@] nigga switch opinion like faggot,1
gigant [@] big faggot [@] chubb bout earl,1
nicola cage unrol dusti secret scroll say jame madison whini littl bitch,1
search yellow page app nearest jack box,0
sing kill pussi die eye open,1
teacher call pussi senior skip day,1
bo [@] [@] bruh lol retir mw everyth trash afterward,0
bitch breath could,1
chop [@] bird call flap hand,0
goe oliv garden turn cracker [@] goe black friday shop turn nigger,1
karat [@] karrenchi still bird ass bitch,1
live  lol what wrong bitch man [LINK],1
loud jamaican horn  [@] still singl [@] yall find ugliest hoe attract,1
make wise argument acceler warholian notion celebr era vine pass teen mock old wrinkl ball,1
pop pussi singl,1
pregnant crazi bitch wu answer look,1
put peoplebitch face,1
rub hand like bird man,0
scroll fb hoe say need man  cuddl cold bitch nobodi wanna touch ratchet ass,1
squak squak squak squak bird shut squak alex act defianc [@],0
wait fanduel hit jig,0
  [@] [@] joe budden make peopl delet twitter account lmfao he pussi tho block,1
 otakon badg go lovingli refer crippl ribbon,1
[@] gusta type like retard make person look dumber pretend agre bazinga,1
[@] anim cracker want anim cracker shape like master chief troll gun shit thatd rule,1
gtrt [@] [@] ankl sock gener faggot bro,1
 [@]  mani hoe realli,1
help mayb gotta card sorri tranni die motel room wife know here applebe gift card,0
 [@] requir soundcloud link tumblr bitch might let play parti,1
 feel bad women continu flock dark thug talk big talk simpl mind hoe,1
 bitch catch feel damn time,1
 lol nah hoe dealt yall  [LINK],1
nobodi sell orang flavor color bubblegum fuckin problem giant fuck go pack,1
tweet tabletbal bitch,1
aaaaaaaaand begin [@] fuck nigger kentucki ever,1
goin back school hoe class two,1
show obama call whitish yall motherfuck would cri racist like lil bitch blackish,1
amber rose rock bald head bald pussi motherfuck,1
your white roll eye [@] [@] rip nigga trayvon worthless spear chucker,1
[@] [@] ye inde camel ostrich zebra sept  [LINK] vccamelrac,0
[@] love austin [LINK] webber boon [@] hcota,0
[@] realli talk like buck nigger,1
[@] run around town deliv food peopl take trash perfect boyfriend,0
[@] could play  minut charli brown wah wah wah adult sound effect instead,0
[@] doesnt alway feel like go season offens concept inevit trash get good,0
[@] wow impeach look use vocab workshop word guess half wrong dumb cunt,1
[@] street bird homeless peopl twitter amsterdam [LINK] via [@] [LINK],0
[@] hey race bait fbi inform bitch where punk ass speak justic [LINK],1
[@] [@] [@] tri visit [@] night real spook,0
[@] thank dawn see state bird grace avatar,0
[@] klain real sole job dampen mushroom bad pr polit fallout head nov elect,0
[@] could wear trash bag shed still stylish coolest human know,0
[@] al qaeda market share drop faster viacom amp enron jihadi stock market,0
[@] love obama unrequit howev obama clearli putin bitch,1
[@] putin push land china complet revamp arm forc your fuck retard stay countri,1
 babi momma bitch wife like pac need thug ya life,1
 good girl worth  hoe,1
 loyal girl gt oo hoe,1
 day bitch,1
 game k finish new book  john grisham cold hoe,1
 thang know bitch come go keep em bussi,1
 time lone hoe watch scandal run,1
 [@] [@] [@] cross eye albino control,0
 vader sith jedi duh  vader also whini bitch  yoda motherfuck yoda micdrop,1
     drunk walk drive got bitch night parti start til drug arriv load,1
 semievolv monkey desper search valid mean life bbqd youd ok mango salsa,0
slapaho,0
 pretti close [@]  trash ass nigga [@] [@] quot guess bodi count,1
 [@]  [@] averag   need [@] scale  ghetto,0
 day til christma bitch,1
 mile dead zone radiu around phillygotta go ny dc [@] tri state need better bitch,1
yea like money order bad asian bitch yea look like kemora,1
 mil [@] caus romo bitch ass dez amp witten eat,1
 [@]  depot   pussyfootin xxxma hoe hoe hoe motherfuck santa claw come town,1
 oz arizona trash,0
 like block bitch [@] start [@] block us ferguson [LINK],1
 shi  bitch  homosexu,1
 egg sunni side nicca  [@],0
 twitter ever get pussydick,1
 year old pussi tast like hope,1
 yr scrap might get life prison murderin nort nigga el pollo loco stori rd,1
 killin hoe,1
  world seri rematch yanke brave,0
x  yellow tower gilbert clae [LINK],0
st game fall finna kill hoe,1
wayhustl come get sign bitch self paid,1
 iubb game bloomington btown good ncaa basketbal colleg indiana iu hoosier,0
 adult human skull found trash [LINK],0
 bad bitch  glock  choppa,1
 beer queer,1
 face bitch,1
 hoe  dyke,1
  hoe everyth ,1
 thang bitch say broke ha period late,1
 year start street put fag funnyguy,1
 know wtf bitch,1
 senior chill fuck year senior basic ass bitch,1
k tweet hoe like thank support fan  tweet come,1
 bitch bitch hella chillin also thank toler friend,1
 talent driver [@] realli glad havent yellow havent yellow,0
rozayidgt mad twan fuck bitch [LINK],1
 flappi bird suck dick lick ball swag,1
pac real af temptat exactli nigga get money bitch,1
[@] [@] use email address chat line bitch hittin ,1
k coach retard would put  point guard  tho,1
 millionair walk trip bitch paid fight  lmao,1
 thing stand deal bitch hit feet b stank ass breath c skank ass way,1
 year today fuck retard fell love stupid wish coldheart neverlovingsomeoneagain dontneedanyon,1
 bitch fuck wid,1
 min [@] [@] pick trash [@] meijernow guy understand took  shot trip,0
 bitch hot done took flight ,1
 touchdown  clock michigan hoe,1
 like hoe,1
 fat hoe ina caddilac tell ju lost dey luxuri car ride virginityho happi lmao,1
 old hoe ponk dyke outchea girl talk,1
 stack heel bitch feet car seat still smellin like  key tell plug lookin increas,1
 moke,0
 min bitch drop,1
 know ya bitch [@],1
th [@] beat pussi like snitch serv time state correct facil  year,1
th long bitch,1
 bag chip  rice krispi  seed  gummi pop tart cracker  powerad water yuhhh good lol,0
 white men pick truck scream nigger coach got nerv get mad miss free throw ,1
 still awak yay time chug coffe red bull forese futur hope pass behind wheel,0
so trash,0
whizz cracker cat got [@] amp play hockey lol crazycat [LINK],0
ugli thot bitch shoe,1
so like come hang us fugli oh side hoe left thnx,1
thharmoni user follow unfollow prude ass hoe,1
  hoe fat big bone heheheheh,1
  bout match wit di nicca donnydinero,1
 pound never fail make cri bitch relat,1
 year later bitch still learn lesson lol rememb first major nude leak gener,1
 need hurri  chilli bitch,1
 girl went hs look horribl wanna believ itim bout piss facebook hoe,1
 mo [@] let kill cracker kill babi new black panther hijack ferguson presser [LINK],1
 speci bird report chesterfield great backyard bird count mani area [LINK],0
 percent yo bitch  percent scrap,1
 nigga goofi act like bitch,1
 featur car   yellow black featur car buck tag radiat support xx mile [LINK],0
  got miss call yo bitch,1
 truli talent peopl come across retard profession  aw untal peopl point polit,1
 percent trash dump sea miss good thing  [LINK] [LINK],0
 problem bitch aint ,1
 problem bitch aint one,1
 [@] point need discuss delici vegan browni [@] st tast,0
 well suck kobe he still filthi hate want respect retard,1
gt [@] good pussi come price tag,1
[@] bitch,1
[@] tho [@] bitch want includ fuckin baldli bruh,1
[@] chick gorgeou fine pussi stink,1
[@] person signific hoe cheat,1
[@] bitch use whiper,1
[@] hick ye,0
[@]  happen get pussi pussi twitter seem like clear cut choic hahahaha,1
[@] charli sheen could coach better crusti dusti yeah hire bryan price pitch coach,0
[@] bet he starbuck queer,1
[@] [@] bitch gross fuck touchin saggi titti,1
[@] could fuck bowl graham cracker cereal,1
[@] bitch caught bodi week ago everybodi catch bullet hole,1
[@] hard qa time also pain mock unit test,0
[@] [@] [@] noth like wait till last game season peddl shit websit heeb,1
[@] [@] fugli loos hoe,1
[@] blessjesu yesfeltand touch sole human stain impress leav reflect,0
[@] booksofgodwidom proverb  also laugh calam mock fear cometh,0
[@] holyspirit god still share secret amo  bless jesu,0
[@] jesu genesi  ground lord god form everi beast field everi bird sky initi,0
[@] bitch fuck told sit seat yo dumbass come say sit bitch voteso,1
[@] [@] fag,1
[@] [@] [@] bitch bitch,1
[@] fuc pussi nasti ,1
[@] mayb crow obama democrat mawbarmight well republican,0
[@] amp foolish proud selv roll eye pretend see mock laff arrog attitud,0
[@] whip mommi belt arrest black woman real nigger yet got want death,1
[@] aint real nigger oh bad real nigga prais sonsof satan realnigg qualitati hate,1
[@] wonder run nose first yo real nigger amp white devil massah man point anoth convinc less,1
[@] cri lost pussi emot sissi get amp front hoe simpl mind amp point brotha like,1
[@]  bitch need tan,1
[@] [@] old ratchet hoe bruh,1
[@] pussi,1
[@] yu ah hoe,1
[@] wonder charli brown would say day,0
[@] good enough fag,1
[@] littl bitch ass get tase get home,1
[@] haha still littl bitch though ,1
[@] she cunt hoe bag,1
[@] look like plastic monkey doll,0
[@] lmao  excus bitchi soundcloud,1
[@] go cunt somewher els,1
[@] [@] stfu hoe fuck answer smack shit outta faggot aunt,1
[@] glad still tri figur emoticon damn motorola give bitch finger,1
[@] trash kickin yo ass,1
[@] remind oreo lmao,0
[@] bitch far fuck us got el gran pollo way serv us well [@],1
[@] iycmi get work done keep showin bitch,1
[@] ima act like hit hoe pass like earlier,1
[@] fag rhyme gag,1
[@] fuck tonyy greasebal piec shit,1
[@] said [@] hoe ,1
[@] hoe,1
[@] [@] gone die aint playin dawg bitch gone ruthless ,1
[@] push wall slowli take panti write alphabet tongu tight pussi,1
[@] time amend th amend written protect newli freed ex slave live purpos time end anchor babi loophol,0
[@] laugh oreo ladi gaga sunday day,0
[@] [@] yeah run squirrel coon,0
[@] bitch hoe surpris,1
[@] [@] faggot,1
[@] [@] hey alway go sometim three crazi bitch one suav mfer trick go,1
[@] watch llewyn davi doc warm fuzzi abound ,0
[@] laugh hoe,1
[@] beauti bride tell erica congrat rememb nig,1
[@] lmao brutal nig get job lol,1
[@] [@] sigh  bitch woman learn differ  know fat  call scarf dumbass,1
[@] dr phil troubl figur fat ass want eat drink bitch,1
[@] heard hillbilli grous bug much wors kv sinc mic shut,0
[@] clean entir fuck weight room look like tornado went bitchcmon franklin [@],1
[@] ghetto sweet movi quot tri,0
[@] littl bitch proven wrong momsdemand gunsens,1
[@] shut bitch,1
[@] [@] bruh  blanket like bitch right,1
[@] your ghetto tho live hood ghetto fact,0
[@] man much damn giggl go offer  tip shit lol think even heard bitch spit coupl time,1
[@] two trash ass pass know damn well saw nd rd santo game,1
[@] yeah lie tho spit cop car right bitch ass feel damn good,1
[@] your fuck pussi,1
[@] crusti hoe,1
[@] doubl game bitch,1
[@] bitch tryna take money g,1
[@] talk  almost aint friend pussi,1
[@] like gross yellow heat lamp,0
[@] tri time go sit silenc cri like bitch sweat,1
[@] [@] clam comedi writer untru,0
[@] realli bro retard [@] even miss point greeneggsampham mean knock til ya tri,1
[@] [@] yeah tht bitch aint gay brah chill,1
[@] [@] may cri tad illmissu shiner,0
[@] [@] snapchat got hack hoe explain [LINK],1
[@] seen number bitch say thing loos pussi lol ok,1
[@] ghetto name ,0
[@] nigglet ,1
[@] imma bitch know  leav alon,1
[@] hoe hoe snapchat,1
[@] hell yeah got bokoo hoe fro,1
[@] big congrat expect blog rube chat day get sleep need,0
[@] [@] alqueda doesnt use cell phone internet wow teabagg stupid,1
[@] bitch wat,1
[@] haha shit niggah wish,1
[@] lol bitch riversid la ahah,1
[@] nah thought bitch lol know peter girl one lmao,1
[@] niggah lol  beer went bar  beer bar got pck way home lool,1
[@] bitch love,1
[@] [@] text bitch,1
[@] [@] hoe like everi night tweet bullshit,1
[@] [@] lol caus hoe love,1
[@] [@] yall niggaz aint never listen slow shit bitch,1
[@] lmaoooo hell naw bro havent seen hoe,1
[@] lol bout say shit incom tax tryna find bitch coupl week,1
[@] [@] pleas stay safe guy love much hoe one day meet guy happi halloween ,0
[@] [@] evil son bitch deserv everyth come,1
[@] niiic nigga schinder pullin hoe,1
[@] bad bitch wonder manner go,1
[@] karma bitch,1
[@] bitch stop fuck playin know wtf talkin,1
[@] niggah lie ,1
[@] seen pic nig rob store caption saidprotest go fergerson lol like pig either wtf,1
[@] live south lot pop live rhode island hardli nigger,1
[@] basic like background music fag,1
[@] hoe trash,1
[@] trippin bitch ,1
[@]  real rap fuck bitch lay day realli disrespect like bitch couldnt feel throw come,1
[@] like hoe gettin dick day tonight gettin,1
[@] stop mean bitch ,1
[@] main bitch,1
[@] like dark light carmel white red tan yellow blue purpl green doesnt matter color,0
[@] rememb keep skirt dark color camouflag pan dimension gore,0
[@] [@] [@] hoe hous  toni spot mf,1
[@] said got workout pussi,1
[@] [@] call buddi cambron retard man smh rude,1
[@] least agre whine like littl bitch someon threw phone absolut hilari,1
[@] haha say littl bitch let someon take phone real man wouldnt let happen littl bitch would,1
[@] man pussi coward overpow easili took clearli much less man,1
[@] incess whine like worthless littl bitch funniest thing happen weekend man,1
[@] yea alway look niceal monkey face women see around santa monica look better natur beauti dontbedumb,1
[@] bet good pussi,1
[@] feel like read right wanna give sexi cooli girl lyric via text messag ,0
[@] wanna gimm babi look coolieit might could work lol,0
[@] trash,0
[@] your dismiss bitch mood fucktard morn block [@],1
[@] [@] cop bitch slap wanna b st thug got tm got dead see slap cop law,1
[@] hate nigger,1
[@] nigger disgust dealt  year ago wouldnt problem,1
[@] bitch would rather fuck poster damn cold,1
[@] [@] ali hoe,1
[@] lol hoe number,1
[@] right  come  wait anoth  month  naaaawwwww  could pimpin hoe lol,1
[@] congrat amo ,0
[@] retard,1
[@] iheinz stfu think ugli hard look get fuck chat faggot block oct th,1
[@] wait ped roid munch faggot,1
[@] prego bitch,1
[@] shut fuck hoe ass bitch fuck squirtin ass cunt hoe,1
[@] smd bitch,1
[@] [@] homo ass cracker,1
[@] would got dat new monopoli wit da cardsil hold see hoe let nigga swipe credit,1
[@] nice color combo love blue yellow,0
[@] [@] cri babi bitch,1
[@] distant chug end dri remain perfectli heavi guitar ever record,0
[@] call bitch saiddd bitch jeesh,1
[@] spook shit,1
[@] aint nobodi offend fuckin peckerwood despis good white ungrat honkey,1
[@] geniu polit correct term would intellectu disabl highli offens use word retard,0
[@] fight   choic game faggot see happen,1
[@] [@] lmao  side ho get real action anyway ,1
[@] principl ghetto elementari school doubt finger cross,1
[@] [@] [@] wrong nigger alway causung mischief among peopl,1
[@] lucki monkey,0
[@] [@] [@] would faggot surviv tj,1
[@] total correct anthoni livin round dem color folk day bringin da hood dem properi valu,1
[@] [@] hey antoni speak color good,0
[@] enjoy itim happi youbut hate yankeesand ye sox choke,0
[@] bitch power goe like last time,1
[@] bitch foh,1
[@] your go  kill cracker amp babi new black panther credibilityshot fergusonriot justicemikebrown,1
[@] well got see pompom pete,0
[@] smdh anoth bitch,1
[@] fuck ugli ass bitch,1
[@] [@] [@] nah fag,1
[@] [@] invit fag,1
[@] class nig,1
[@] guy suppos get ass suck queer,1
[@] everybodi mock obama he embarrass usa,0
[@] yeah bitch aint shit tho,1
[@] bitch see bitch good luck,1
[@] bitch join fuck armi us around bitch like fuck rob go fuckin armi,1
[@] lol na bitch like crazi good ,1
[@] bitch [@],1
[@] cut bitch,1
[@] [@] where bitch wit sammich,1
[@] bitch got flameee,1
[@] [@] [@] world see  faggot jungl bunni fuck one got pregnant,1
[@] [@] [@]  note di bitch,1
[@] bitch know wanna play basketbal look sexi bro,1
[@] bro know comment stupid shit like thatbitch instagram heart attack plate,1
[@] welcom movement anyon get even minor public queer fed jew well accord internet,1
[@] bruh bruh bitch aint loyal ,1
[@] wtf dmd bitch,1
[@] jeff luhnow blame astro blow red sox yanke hc,0
[@] [@] [@] nah forreal yall pussi smell like dri crusti fish gut,1
[@] [@] nah bitch stank,1
[@] [@] [@] [@] [@] [@] ape fuck broke ass racist,1
[@] [@] [@] [@] [@] [@] fuck bitch,1
[@] [@] hoe aint loyal [@],1
[@] [@] [@] mutat genealog convolut basic zebra gene currieri slaughteredextinct,0
[@] either way school trash ,0
[@] pussi ass schedul,1
[@] like talk faggot nice way fag,1
[@] answer snapchat faggot butthurt,1
[@] go sleep faggot,1
[@] one keep faggot,1
[@]  wait see fuck cunt ass mine,1
[@] johnni footbal trash man trash lol,0
[@] miss eat speak miss red bone cook ,0
[@] bitch add,1
[@] [@] [@] [@] [@] could die call mom bitch lmao,1
[@] bruh go like bitch thoe lol final match,1
[@] lmao omm see bitch tryna act like aint feel ahaha,1
[@] lol match earli ic champion bitch realli would go ham,1
[@] ppl piss basic say suffer tourch tht bitch,1
[@] your bitch though,1
[@] come stop bitch caus bout get,1
[@] nigga pussi shit,1
[@] caus your sexi bitch,1
[@] [@] liter eat asshol live actual faggot seem littl confus,1
[@] bitch moan tear,1
[@] [@] ohgtgtgtgtgt bald bitchltltltltltltlt,1
[@] [@] [@] talk without talk cunt mama talk,1
[@] faggot teammat [@] hit someon late like say he yap yell guy def  room,1
[@] man shut yo bord ass  want hoe  cdfu stay fuckjng wid mann,1
[@] he fuck trash,1
[@] [@] [@] [@] lmfaoooo fag shit man,1
[@] dick pussi preciou give ruin bullshit done,1
[@] finger throb pussi slowli cum face,1
[@] account incred retard,1
[@] [@] time ranger scout head watch yanke prospect ranger,0
[@] dyke,1
[@] bishhhhhh waasup bitch,1
[@] good dnt sucker sad mad bitch,1
[@] follow vice lord dat rn listen nigga sinc magic almighti hoe,1
[@] lt got hoe,1
[@] meant toward dad gf she bitch dude,1
[@] quit bein littl bitch b,1
[@] hoe twerk heavi,1
[@] two year old oreo,0
[@] fuck school bore ghetto,1
[@] [@] put bitch shame,1
[@] hoe b brossmh,1
[@] otp bitch hold,1
[@] get nigguh street,1
[@] grindin cuzz shit stop wat good witcha thou bitch mia,1
[@] alreadi know ima keep trillahappi bday lha bitch love yu nigga,1
[@] right pussi,1
[@] [@] send damn beaner back belong us aint,1
[@] [@] omfg elitist bitch one care think go fuck china anyway,1
[@] biden winner last night yea right like charli sheen realli winner win lol,0
[@] glad brought kid home fuck face ucmj care taliban pussi realli,1
[@] l vote support pull rug us nation wors circl trash,0
[@] make weed legal pussi know smoke shit,1
[@] [@] wow white peopl cracker guess one,1
[@] moment silenc bitch chang name everyday ,1
[@] [@] [@] cracker jack shut fuck,1
[@] gonna shut shit bitch get yo punk ass hoe ass nigga,1
[@] oh realli word wanna see bout wanna hear gonna want see bitch,1
[@] lame bitch get fuck gay shit,1
[@] wigga wigga wigga wigga wigga,1
[@] [@] dear daili mail misogynist pile twat [LINK],1
[@] [@] [@] salon chuck full butthurt liber retard,1
[@] nigga said woke bed fulla bitch aint een fuckin idc shit bout x harder,1
[@] grandpa better comeback he dead faggot go outsid let go littl ass dick minut,1
[@] whoever made twitter doesnt like laker make comeback accnt still continu trash talk em,0
[@] dumb bitch stfu,1
[@] tokyo get higher jet kill dog ass hoe send em vet produc [@],1
[@] [@] bitch gonna women,1
[@] [@] one proud hillbilli,0
[@] [@] obama bitch,1
[@] nigger lol tht offens lol xma iit coupl drink fine ninja xma lol,1
[@] [@] dat cat gonna scratch dat color boy gonna end da chow mein,0
[@] ala profici neither skill limit pointless stat memor  trash talk,0
[@] nigga think mick foley ,1
[@] want one new bitch morph super playa see world,1
[@] boat hoe,1
[@] [@] well look like buy two big bitch box busch na ,1
[@] niggah follow back ,1
[@] lmfaoo yu stupid lha bitch know yr never hoeever,1
[@] yall thou yalll fuck glad bag trash,1
[@] tell boy hoe call,1
[@] yall fuck trash boyi gladbagflow,1
[@] [@] bitch mom call,1
[@] [@] lmfaooo oh well fuck bitch,1
[@] [@] [@] she anoth straightup conscienceless liar soulless crimin trash,0
[@] youd like wouldnt fag,1
[@] bitch bruhhh ,1
[@] look like fag time line bore zzzzzz,1
[@] deserv victori elit await orang armi sweet disgrac collegehoop back next time hoosier,0
[@] bad he faggot,1
[@] far asf nigguh,1
[@] bruh happen see big bitch strike,1
[@] [@] get volcano yet faggot,1
[@] prolli got bomb pussi lol hope haha,1
[@] happi birthday dirti littl bird  tear ,0
[@] gone eat bitch,1
[@] [@] bet would gone ape shit kill attack muslim,1
[@] [@] holi fuck hell go epa overzeal cunt wait ,1
[@] like put look race color glass [@],0
[@] send fuck muzzi home doj come get motherfuck,1
[@] [@] place pussi stach let pussi take ride,1
[@] [@] what wrong white race fuckin coon slay piec poop pleas die alon,1
[@] [@] aye da fawk ginzo fawk queen fawk nassau,1
[@] [@] copi tweet ginzo,0
[@] record song bitch right nowb,1
[@] lol retard,1
[@] [@] lmao bitch shut,1
[@] what bitch shout momz cali keep doin loveit,1
[@] one mari friend like bitch exist ,1
[@] bitch realli love mosa though mosagang [LINK],1
[@] dare one bag dat folk suckin come yo partayyyi da ofay wantin ride eldorato,0
[@] dat mean get fuck hoe thinkin,1
[@] [@] yall crazi white bitch want lay wit bowf,1
[@] sure think women self hate therfor collect women bitch becom campaign men follow,1
[@] ye protest sexism go right home beg guy beat pussi lost time,1
[@] bro hoe live,1
[@] nice avi lil nigger,1
[@] [@] well cracker jack secret servic work jfk anyon,0
[@] [@] histor point cracker term irish settl wood midatlant hardli offens,0
[@] your killin man lt conserv racist like nbp hate honki,1
[@] chill youll regret bro hit hoe rn quit,1
[@] blah peopl determin think condescend bitch loss,1
[@] ha bitch pickin beach babe left right west coast [LINK],1
[@] bandana orian call trailer trash wear lil countri getup ,0
[@] lmfao go bed whitey ,1
[@] [@] chicken fri steak boy mash potato gravi green bean corn ice cream browni,0
[@] rollin coal bitch readi blow readi set go,1
[@] thank hun haha,0
[@] [@] bitch got crew hype still got ass beat tonight brought us,1
[@] alway eatin good wit niggah good lookin cd boy got heat bump banger,1
[@] fosho niggah il real busi late,1
[@] yeah niggah play good lowkey want brazil win,1
[@] tour come kick ya nig mia,1
[@] [@] jacob joshua pick similar love faggot ruslan well accountsg,1
[@] [@] pass foster faggot,1
[@] yeawhat maidana made greedi faggot loser atleast broner black,1
[@] yeahbitch,1
[@] [@] serious first convers statu fb messag call fag lololol,1
[@] promis stand muzzi,0
[@] [@] [@] [@] fuck bitch,1
[@] [@] [@] [@] weird racist bitch,1
[@] [@] [@] [@] eat inbr trailer trash,1
[@] let hoe tell man,1
[@] lesson  pass  like lil bitch,1
[@] slap taco tht hoe face ,1
[@] never life coffe shop like starbuck hick though,0
[@] [@] lmao angela look like damn potato bitch keep talkin,1
[@] pearl jam yellow ledbettergt,0
[@] reason yanke want anderson longer,0
[@] [@] [@] [@] [@] [@] [@] [@] [@] shot go yellow smoke,0
[@] awnser phone pussi,1
[@] ghetto super duper current gener best complement,0
[@] pull panti teeth write alphabet tongu throb pussi,1
[@] trip acid bitch,1
